rank,player,team,position,pos_rank,tier,bye,ecr_vs_adp
292,Shedeur Sanders,CLE,QB,33,12,11.0,-49.0
293,San Francisco 49ers,SF,DST,18,12,8.0,-34.0
294,Jaleel McLaughlin,DEN,RB,86,12,10.0,
295,Najee Harris,LAC,RB,87,12,7.0,12.0
296,Greg Dulcich,MIA,TE,35,12,6.0,-114.0
297,Oscar Delp,NO,TE,36,12,8.0,101.0
298,Devin Singletary,NYG,RB,88,12,8.0,99.0
299,Jerome Ford,WAS,RB,89,12,7.0,79.0
300,Hollywood Brown,PHI,WR,107,12,10.0,-1.0
301,Deshaun Watson,CLE,QB,34,13,11.0,-66.0
302,Mike Gesicki,CIN,TE,37,13,6.0,-63.0
303,Kirk Cousins,LV,QB,35,13,13.0,-70.0
