rank,player,team,position,pos_rank,tier,bye,ecr_vs_adp
413,Deion Burks,IND,WR,142,15,13.0,
414,Trey Smack,GB,K,30,15,11.0,
415,Joe Milton III,DAL,QB,45,15,14.0,-87.0
416,Zach Ertz,FA,TE,59,15,,-53.0
417,Ashton Dulin,IND,WR,143,15,13.0,-129.0
418,Erick All Jr.,CIN,TE,60,15,6.0,-110.0
419,Tyler Lockett,LV,WR,144,15,13.0,
420,Antonio Gibson,FA,RB,112,15,,
421,Marlin Klein,HOU,TE,61,15,8.0,
422,Khalil Herbert,FA,RB,113,15,,
423,Jonnu Smith,FA,TE,62,15,,-58.0
424,Damien Martinez,GB,RB,114,15,11.0,-111.0
425,Greg Dortch,DET,WR,145,15,6.0,-113.0
426,Roschon Johnson,CHI,RB,115,15,10.0,
427,Jam Miller,NE,RB,116,15,11.0,-93.0
428,Dyami Brown,WAS,WR,146,15,7.0,-104.0
429,Cyrus Allen,KC,WR,147,15,5.0,
430,Dylan Laube,LV,RB,117,15,13.0,
431,Jeremy McNichols,WAS,RB,118,15,7.0,
432,Josh Oliver,MIN,TE,63,15,6.0,
433,Mitch Tinsley,CIN,WR,148,15,6.0,
434,Demarcus Robinson,SF,WR,149,15,8.0,
435,Cade Klubnik,NYJ,QB,46,15,13.0,
436,Rasheen Ali,BAL,RB,119,15,13.0,-152.0
437,Raheem Mostert,LV,RB,120,15,13.0,
438,Riley Leonard,IND,QB,47,15,13.0,-138.0
439,Brittain Brown,CHI,RB,121,15,10.0,
440,Kyle Juszczyk,SF,RB,122,15,8.0,
441,Elijah Higgins,ARI,TE,64,15,14.0,
442,Jordan Waters,LAR,RB,123,15,11.0,
443,Las Vegas Raiders,LV,DST,30,15,13.0,-76.0
444,Miles Sanders,FA,RB,124,15,,
445,Devontez Walker,BAL,WR,150,15,13.0,-168.0
446,Mitchell Evans,CAR,TE,65,15,5.0,
447,Ty Chandler,NO,RB,125,15,8.0,
448,Kevin Austin Jr.,NO,WR,151,15,8.0,
449,Tai Felton,MIN,WR,152,15,6.0,
450,Gardner Minshew II,ARI,QB,48,15,14.0,-164.0
451,Robert Henry Jr.,WAS,RB,126,15,7.0,
452,Tanner McKee,PHI,QB,49,15,10.0,
453,Jaret Patterson,LAC,RB,127,15,7.0,
454,Malik Benson,LV,WR,153,15,13.0,-132.0
455,Ameer Abdullah,JAC,RB,128,15,7.0,
456,Elijah Moore,PHI,WR,154,15,10.0,
457,AJ Dillon,CAR,RB,129,15,5.0,
458,Jahdae Walker,CHI,WR,155,15,10.0,
459,Xavier Smith,LAR,WR,156,15,11.0,
460,Pierre Strong Jr.,GB,RB,130,15,11.0,
461,Sam Roush,CHI,TE,66,15,10.0,-171.0
462,Nate Boerkircher,JAC,TE,67,15,7.0,
463,Tanner Koziol,JAC,TE,68,15,7.0,
